Date,Team_H,Score_H,Score_A,Team_A,Location,Season
1 Apr,West Coast Fever,57,40,Adelaide Thunderbirds,Perth Arena,2017.0
2 Apr,Sunshine Coast Lightning,60,49,Queensland Firebirds,University of the Sunshine Coast Stadium,2017.0
2 Apr,Collingwood Magpies,56,60,Melbourne Vixens,Hisense Arena,2017.0
7 Apr,Collingwood Magpies,56,43,West Coast Fever,Hisense Arena,2017.0
8 Apr,Queensland Firebirds,51,55,Giants Netball,Gold Coast Convention & Exhibition Centre,2017.0
8 Apr,Adelaide Thunderbirds,54,75,Melbourne Vixens,Priceline Stadium,2017.0
9 Apr,New South Wales Swifts,50,55,Sunshine Coast Lightning,Sydney Olympic Park Sports Centre,2017.0
22 Apr,Sunshine Coast Lightning,59,50,Adelaide Thunderbirds,Brisbane Entertainment Centre,2017.0
22 Apr,Queensland Firebirds,55,50,West Coast Fever,Brisbane Entertainment Centre,2017.0
23 Apr,Giants Netball,56,59,Collingwood Magpies,Qudos Bank Arena,2017.0
23 Apr,New South Wales Swifts,54,62,Melbourne Vixens,Qudos Bank Arena,2017.0
29 Apr,Melbourne Vixens,70,59,Sunshine Coast Lightning,Margaret Court Arena,2017.0
29 Apr,Adelaide Thunderbirds,48,51,New South Wales Swifts,Titanium Security Arena,2017.0
30 Apr,Collingwood Magpies,61,59,Queensland Firebirds,Silverdome,2017.0
30 Apr,West Coast Fever,45,48,Giants Netball,HBF Stadium,2017.0
5 May,New South Wales Swifts,50,48,West Coast Fever,Sydney Olympic Park Sports Centre,2017.0
6 May,Melbourne Vixens,66,55,Queensland Firebirds,Hisense Arena,2017.0
6 May,Collingwood Magpies,49,56,Sunshine Coast Lightning,Hisense Arena,2017.0
7 May,Adelaide Thunderbirds,47,49,Giants Netball,Priceline Stadium,2017.0
12 May,Sunshine Coast Lightning,64,50,West Coast Fever,University of the Sunshine Coast Stadium,2017.0
13 May,Collingwood Magpies,62,50,New South Wales Swifts,Hisense Arena,2017.0
13 May,Queensland Firebirds,59,48,Adelaide Thunderbirds,Brisbane Entertainment Centre,2017.0
14 May,Giants Netball,56,52,Melbourne Vixens,AIS Arena,2017.0
19 May,Giants Netball,53,56,Queensland Firebirds,Sydney Olympic Park Sports Centre,2017.0
20 May,West Coast Fever,42,49,Collingwood Magpies,Perth Arena,2017.0
20 May,Sunshine Coast Lightning,63,49,New South Wales Swifts,University of the Sunshine Coast Stadium,2017.0
21 May,Melbourne Vixens,71,50,Adelaide Thunderbirds,Margaret Court Arena,2017.0
27 May,New South Wales Swifts,48,67,Queensland Firebirds,Qudos Bank Arena,2017.0
27 May,West Coast Fever,42,68,Melbourne Vixens,Perth Arena,2017.0
27 May,Giants Netball,55,56,Sunshine Coast Lightning,Qudos Bank Arena,2017.0
28 May,Adelaide Thunderbirds,47,49,Collingwood Magpies,Titanium Security Arena,2017.0
Sat 28 Apr,Melbourne Vixens,59,58,Collingwood Magpies,Hisense Arena,2018.0
Sun 29 Apr,Adelaide Thunderbirds,56,74,West Coast Fever,Priceline Stadium,2018.0
Sun 29 Apr,Giants Netball,54,51,Sunshine Coast Lightning,Qudos Bank Arena,2018.0
Sun 29 Apr,New South Wales Swifts,54,53,Queensland Firebirds,Qudos Bank Arena,2018.0
Sat 5 May,Adelaide Thunderbirds,48,71,Giants Netball,Priceline Stadium,2018.0
